,Visual Properties,,,,,,Labels,,,,Layout,,,,,,Graph Metrics,,,,,,,,,Do Not Edit,,Other Columns,,
Vertex,Color,Shape,Size,Opacity,Image File,Visibility,Label,Label Fill Color,Label Position,Tooltip,Layout Order,X,Y,Locked?,Polar R,Polar Angle,Degree,In-Degree,Out-Degree,Betweenness Centrality,Closeness Centrality,Eigenvector Centrality,PageRank,Clustering Coefficient,Reciprocated Vertex Pair Ratio,ID,Dynamic Filter,Add Your Own Columns Here,Vertex Group,
#tigerconservation,,,,,,,#tigerconservation,,,,,"4,230.8","9,732.5",,,,,,,0.000,0.053,0.000,0.004,0.000,,177,,,7,
nurturing,,,,,,,nurturing,,,,,300.3,692.1,,,,,,,9.000,0.052,0.000,0.005,0.000,,178,,,1,
science,,,,,,,science,,,,,"1,398.6",246.9,,,,,,,0.000,0.052,0.000,0.004,0.000,,179,,,1,
#naturalcapitalaccounting,,,,,,,#naturalcapitalaccounting,,,,,919.0,"7,340.7",,,,,,,4.000,0.013,0.000,0.005,0.000,,180,,,12,
collaborative,,,,,,,collaborative,,,,,569.7,"6,583.5",,,,,,,3.000,0.011,0.000,0.005,0.000,,181,,,12,
#farmzeroc,,,,,,,#farmzeroc,,,,,"1,400.4","6,583.2",,,,,,,3.000,0.011,0.000,0.005,0.000,,182,,,12,
connectivity,,,,,,,connectivity,,,,,"9,230.8","2,546.4",,,,,,,2.000,0.011,0.000,0.005,0.000,,183,,,13,
coral,,,,,,,coral,,,,,"9,507.5","2,929.7",,,,,,,2.000,0.011,0.000,0.005,0.000,,184,,,13,
brazil,,,,,,,brazil,,,,,"9,641.2","5,004.4",,,,,,,1.000,0.010,0.000,0.005,0.000,,185,,,15,
justice,,,,,,,justice,,,,,"7,672.6","9,257.2",,,,,,,1.000,0.010,0.000,0.005,0.000,,186,,,14,
motivated,,,,,,,motivated,,,,,138.9,"6,986.0",,,,,,,0.000,0.008,0.000,0.004,0.000,,187,,,12,
information,,,,,,,information,,,,,"1,836.9","7,138.9",,,,,,,0.000,0.008,0.000,0.004,0.000,,188,,,12,
role,,,,,,,role,,,,,"8,937.7","2,991.3",,,,,,,0.000,0.007,0.000,0.004,0.000,,189,,,13,
reef,,,,,,,reef,,,,,"9,518.4","3,393.8",,,,,,,0.000,0.007,0.000,0.004,0.000,,190,,,13,
biota,,,,,,,biota,,,,,"9,818.0","5,461.1",,,,,,,0.000,0.006,0.000,0.004,0.000,,191,,,15,
pollinaton,,,,,,,pollinaton,,,,,"9,570.5","4,534.6",,,,,,,0.000,0.006,0.000,0.004,0.000,,192,,,15,
